id;"nom";"prenom";"parti";age;caution;casier;nationalité
1;"Biya";"Paul";"RDPC";92;30000000;0;"camerounaise"
2;"Osih";"Joshua";"SDF";47;30000000;0;"camerounaise"
3;"Kamto";"Maurice";"MRC";71;30000000;0;"camerounaise"
4;"Libii";"Cabral";"PCRN";44;30000000;0;"camerounaise"
5;"Ndam Njoya";"Adamou";"UDC";56;30000000;0;"camerounaise"
6;"Ateki";"Seta Caxton";"PAL";39;30000000;0;"camerounaise"
7;"Bello Bouba";"Maigari";"UNDP";75;30000000;0;"camerounaise"
8;"Bouhga-Hagbe";"Jacques";"MCNC";40;30000000;1;"camerounaise"
9;"Tchiroma";"Issa Bakary";"FSNC";76;30000000;0;"camerounaise"
10;"Iyodi";"Hiram Samuel";"FDC";37;30000000;0;"camerounaise"
11;"Kwemo";"Pierre";"UMS";34;30000000;0;"camerounaise"
12;"Matomba";"Serge Espoir";"PURS";40;30000000;0;"camerounaise"
13;"Muna";"Akere";"Univers";72;30000000;0;"camerounaise"
